# A,B,C,D,E,F
1.473640151406104906e+03,1.843772691958879022e+03,1.949556410576131611e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.843772691958879022e+03
2.709059990727281729e+03,2.473590915166926607e+03,3.612879142855003920e+03,3.349194419007467332e+03,3.457241492268316506e+03,4.426313730669106917e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.949556410576131611e+03,2.090610214240422465e+03,1.473640151406104906e+03,2.230737784497279790e+03,2.090610214240422465e+03,1.949556410576131611e+03
1.843772691958879022e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.843772691958879022e+03
1.949556410576131611e+03,1.949556410576131611e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.949556410576131611e+03,1.843772691958879022e+03
1.473640151406104906e+03,1.843772691958879022e+03,2.332537111502635526e+03,2.090610214240422465e+03,2.090610214240422465e+03,1.843772691958879022e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
2.090610214240422465e+03,2.332537111502635526e+03,2.090610214240422465e+03,1.843772691958879022e+03,1.843772691958879022e+03,2.230737784497279790e+03
2.528967692230947250e+03,2.528967692230947250e+03,3.304451410259551267e+03,3.437497086884382043e+03,3.250427873629127134e+03,3.874603109108938042e+03
2.886105943780209600e+03,2.090610214240422465e+03,3.368863891181383224e+03,2.332537111502635526e+03,3.143307033775710806e+03,2.384208954936921600e+03
2.876853308342600030e+03,2.774599523122894425e+03,2.575390242172281432e+03,2.716444045836572514e+03,2.886105943780209600e+03,2.709059990727281729e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
2.709059990727281729e+03,2.575390242172281432e+03,2.230737784497279790e+03,2.473590915166926607e+03,1.843772691958879022e+03,2.709059990727281729e+03
2.886105943780209600e+03,2.230737784497279790e+03,3.037112427329729144e+03,2.886105943780209600e+03,3.727806691950952882e+03,2.934826161370746377e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.949556410576131611e+03,2.230737784497279790e+03,1.843772691958879022e+03
2.332537111502635526e+03,1.949556410576131611e+03,2.230737784497279790e+03,2.090610214240422465e+03,1.949556410576131611e+03,2.473590915166926607e+03
1.949556410576131611e+03,2.230737784497279790e+03,2.775053981337245204e+03,2.629369010635785799e+03,1.843772691958879022e+03,1.473640151406104906e+03
